# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
32.00 2.1372 -9.1577e0 2.0850e0 -8.8201e-1
33.00 0.4765 -1.0012e1 4.2759e0 -3.7904e-1
34.00 -1.1620 -1.2378e1 9.7966e0 2.1963e0
35.00 -0.8377 -9.0031e0 7.1673e0 1.3111e0
36.00 -0.9214 -7.4387e0 4.5774e0 1.5129e0
37.00 -1.1262 -6.8046e0 4.7598e0 2.0839e0
38.00 -1.2761 -6.1960e0 4.7087e0 2.5827e0
39.00 -1.4568 -5.8214e0 5.3364e0 3.2922e0
40.00 -1.5885 -5.4744e0 5.9139e0 3.8963e0
41.00 -1.6612 -5.0642e0 5.9075e0 4.2654e0
42.00 -1.6460 -4.4587e0 5.0201e0 4.1863e0
43.00 -1.5142 -3.8135e0 4.5494e0 3.5456e0
44.00 -1.2847 -3.1571e0 4.2952e0 2.6137e0
45.00 -1.0360 -2.5959e0 4.2046e0 1.8179e0
46.00 -0.7944 -2.1056e0 3.9971e0 1.2130e0
47.00 -0.5359 -1.4865e0 2.8966e0 7.0906e-1
48.00 -0.3147 -9.6768e-1 1.9318e0 3.6988e-1
49.00 -0.1410 -5.7498e-1 1.1760e0 1.5147e-1
50.00 -0.0178 -3.1789e-1 7.3771e-1 1.7956e-2
51.00 0.0651 -1.5513e-1 4.9901e-1 -6.3058e-2
52.00 0.1180 -5.2816e-2 3.6336e-1 -1.1128e-1
53.00 0.1517 1.4752e-2 2.7712e-1 -1.4074e-1
54.00 0.1719 5.8843e-2 2.2109e-1 -1.5793e-1
55.00 0.1831 8.7899e-2 1.8208e-1 -1.6732e-1
56.00 0.1882 1.0689e-1 1.5349e-1 -1.7156e-1
57.00 0.1894 1.1926e-1 1.3134e-1 -1.7252e-1
58.00 0.1880 1.2718e-1 1.1345e-1 -1.7137e-1
59.00 0.1849 1.3197e-1 9.8641e-2 -1.6883e-1
