# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
32.00 0.7013 -1.1748e1 2.2125e0 -5.0408e-1
33.00 0.1818 -1.0244e1 3.0870e0 -1.6625e-1
34.00 -0.7543 -1.0119e1 3.6793e0 1.1260e0
35.00 -1.4403 -1.0929e1 9.1297e0 3.2218e0
36.00 -1.1178 -8.0486e0 4.3246e0 2.0581e0
37.00 -1.1366 -7.4439e0 7.3100e0 2.1161e0
38.00 -1.1842 -6.4967e0 5.7735e0 2.2682e0
39.00 -1.4052 -6.2966e0 7.1698e0 3.0765e0
40.00 -1.5267 -5.6959e0 6.1835e0 3.6028e0
41.00 -1.5817 -5.2116e0 6.2620e0 3.8633e0
42.00 -1.5593 -4.5559e0 5.2765e0 3.7556e0
43.00 -1.4375 -3.8604e0 4.4472e0 3.2100e0
44.00 -1.2463 -3.2329e0 4.0643e0 2.4776e0
45.00 -1.0073 -2.6169e0 3.6715e0 1.7382e0
46.00 -0.7717 -2.0946e0 3.3685e0 1.1635e0
47.00 -0.5414 -1.5740e0 2.7884e0 7.1838e-1
48.00 -0.3338 -1.0857e0 2.0141e0 3.9631e-1
49.00 -0.1666 -6.9516e-1 1.3302e0 1.8126e-1
50.00 -0.0450 -4.2467e-1 8.8569e-1 4.6061e-2
51.00 0.0374 -2.4801e-1 6.2462e-1 -3.6661e-2
52.00 0.0905 -1.3282e-1 4.6535e-1 -8.6517e-2
53.00 0.1240 -5.6134e-2 3.6238e-1 -1.1662e-1
54.00 0.1443 -4.3122e-3 2.9182e-1 -1.3434e-1
55.00 0.1556 3.1304e-2 2.4037e-1 -1.4413e-1
56.00 0.1610 5.5836e-2 2.0127e-1 -1.4868e-1
57.00 0.1624 7.2843e-2 1.7040e-1 -1.4988e-1
58.00 0.1612 8.4616e-2 1.4534e-1 -1.4890e-1
59.00 0.1584 9.2616e-2 1.2462e-1 -1.4650e-1
