# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
32.00 3.2838 -8.2221e0 2.1299e0 -9.6251e-1
33.00 1.6712 -8.9213e0 4.3003e0 -8.1198e-1
34.00 -0.2860 -1.2126e1 9.8282e0 3.3114e-1
35.00 0.0687 -8.5374e0 8.4043e0 -6.6401e-2
36.00 0.0599 -6.4923e0 4.2150e0 -5.8121e-2
37.00 -0.0747 -5.5825e0 3.9307e0 7.7534e-2
38.00 -0.2942 -5.0495e0 3.9553e0 3.4203e-1
39.00 -0.5559 -4.7904e0 4.8244e0 7.4355e-1
40.00 -0.7420 -4.4409e0 5.0759e0 1.1002e0
41.00 -0.8537 -4.0365e0 4.9875e0 1.3483e0
42.00 -0.8700 -3.4485e0 4.1032e0 1.3868e0
43.00 -0.7826 -2.8487e0 3.5307e0 1.1871e0
44.00 -0.6113 -2.2758e0 3.2236e0 8.4287e-1
45.00 -0.4133 -1.7736e0 3.0032e0 5.1181e-1
46.00 -0.2196 -1.3430e0 2.7385e0 2.4554e-1
47.00 -0.0272 -9.0170e-1 2.1705e0 2.7578e-2
48.00 0.1377 -5.2302e-1 1.6003e0 -1.2865e-1
49.00 0.2678 -2.2965e-1 1.1317e0 -2.3494e-1
50.00 0.3615 -2.3136e-2 8.1255e-1 -3.0336e-1
51.00 0.4236 1.1430e-1 6.1341e-1 -3.4532e-1
52.00 0.4606 2.0237e-1 4.8895e-1 -3.6910e-1
53.00 0.4815 2.6073e-1 4.0428e-1 -3.8215e-1
54.00 0.4910 2.9865e-1 3.4505e-1 -3.8801e-1
55.00 0.4930 3.2321e-1 3.0087e-1 -3.8921e-1
56.00 0.4898 3.3861e-1 2.6640e-1 -3.8728e-1
57.00 0.4834 3.4791e-1 2.3823e-1 -3.8334e-1
58.00 0.4750 3.5302e-1 2.1445e-1 -3.7811e-1
59.00 0.4653 3.5515e-1 1.9393e-1 -3.7203e-1
