# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
25.00 7.2304 -3.2663e0 1.9488e0 -9.9928e-1
26.00 4.7362 -4.4619e0 6.2401e0 -9.9123e-1
27.00 3.9671 -2.5361e0 3.2699e0 -9.8107e-1
28.00 3.2453 -1.9675e0 3.3357e0 -9.6104e-1
29.00 2.7766 -1.5688e0 3.6955e0 -9.3775e-1
30.00 2.4350 -1.1943e0 3.6087e0 -9.1240e-1
31.00 2.2358 -7.9316e-1 3.4832e0 -8.9309e-1
32.00 2.0755 -5.4974e-1 3.5275e0 -8.7451e-1
33.00 1.9643 -3.7354e-1 3.7014e0 -8.5975e-1
34.00 1.9016 -1.0794e-1 3.3911e0 -8.5066e-1
35.00 1.8529 1.2061e-1 3.0799e0 -8.4322e-1
36.00 1.8109 3.3305e-1 2.7341e0 -8.3649e-1
37.00 1.7747 4.9661e-1 2.6279e0 -8.3047e-1
38.00 1.7625 7.0103e-1 2.3329e0 -8.2839e-1
39.00 1.7690 9.2879e-1 1.9229e0 -8.2949e-1
40.00 1.7849 1.1374e0 1.5586e0 -8.3219e-1
41.00 1.7946 1.3060e0 1.2243e0 -8.3381e-1
42.00 1.7902 1.4202e0 9.6053e-1 -8.3307e-1
43.00 1.7704 1.5027e0 6.9382e-1 -8.2974e-1
44.00 1.7320 1.5369e0 5.0338e-1 -8.2307e-1
45.00 1.6819 1.5439e0 3.4425e-1 -8.1398e-1
46.00 1.6270 1.5355e0 2.0664e-1 -8.0347e-1
47.00 1.5663 1.5054e0 1.2373e-1 -7.9119e-1
48.00 1.5003 1.4554e0 8.5873e-2 -7.7693e-1
49.00 1.4305 1.3942e0 6.8242e-2 -7.6081e-1
50.00 1.3596 1.3285e0 5.8367e-2 -7.4324e-1
51.00 1.2897 1.2623e0 5.1324e-2 -7.2463e-1
52.00 1.2217 1.1975e0 4.5506e-2 -7.0528e-1
53.00 1.1565 1.1351e0 4.0437e-2 -6.8543e-1
54.00 1.0944 1.0754e0 3.5938e-2 -6.6525e-1
55.00 1.0353 1.0185e0 3.1928e-2 -6.4487e-1
56.00 0.9793 9.6440e-1 2.8355e-2 -6.2443e-1
57.00 0.9263 9.1314e-1 2.5177e-2 -6.0400e-1
58.00 0.8763 8.6459e-1 2.2352e-2 -5.8366e-1
59.00 0.8290 8.1863e-1 1.9845e-2 -5.6350e-1
60.00 0.7843 7.7514e-1 1.7620e-2 -5.4356e-1
61.00 0.7421 7.3401e-1 1.5648e-2 -5.2389e-1
62.00 0.7023 6.9511e-1 1.3899e-2 -5.0455e-1
63.00 0.6647 6.5834e-1 1.2350e-2 -4.8558e-1
64.00 0.6292 6.2357e-1 1.0976e-2 -4.6699e-1
65.00 0.5957 5.9070e-1 9.7587e-3 -4.4883e-1
66.00 0.5641 5.5962e-1 8.6794e-3 -4.3111e-1
67.00 0.5342 5.3023e-1 7.7223e-3 -4.1385e-1
68.00 0.5060 5.0245e-1 6.8733e-3 -3.9708e-1
69.00 0.4793 4.7618e-1 6.1200e-3 -3.8079e-1
70.00 0.4541 4.5134e-1 5.4513e-3 -3.6499e-1
71.00 0.4303 4.2784e-1 4.8576e-3 -3.4970e-1
72.00 0.4078 4.0562e-1 4.3302e-3 -3.3490e-1
73.00 0.3866 3.8460e-1 3.8616e-3 -3.2061e-1
74.00 0.3665 3.6472e-1 3.4451e-3 -3.0682e-1
75.00 0.3475 3.4590e-1 3.0747e-3 -2.9352e-1
76.00 0.3295 3.2810e-1 2.7451e-3 -2.8071e-1
77.00 0.3125 3.1125e-1 2.4519e-3 -2.6838e-1
78.00 0.2964 2.9530e-1 2.1908e-3 -2.5652e-1
79.00 0.2812 2.8020e-1 1.9582e-3 -2.4512e-1
80.00 0.2668 2.6591e-1 1.7510e-3 -2.3417e-1
81.00 0.2532 2.5238e-1 1.5663e-3 -2.2366e-1
82.00 0.2403 2.3956e-1 1.4016e-3 -2.1358e-1
83.00 0.2281 2.2742e-1 1.2546e-3 -2.0392e-1
84.00 0.2165 2.1592e-1 1.1235e-3 -1.9466e-1
85.00 0.2055 2.0503e-1 1.0064e-3 -1.8579e-1
86.00 0.1952 1.9470e-1 9.0187e-4 -1.7729e-1
87.00 0.1853 1.8492e-1 8.0844e-4 -1.6917e-1
88.00 0.1760 1.7565e-1 7.2494e-4 -1.6139e-1
89.00 0.1672 1.6686e-1 6.5027e-4 -1.5396e-1
90.00 0.1588 1.5853e-1 5.8349e-4 -1.4685e-1
91.00 0.1509 1.5063e-1 5.2373e-4 -1.4006e-1
92.00 0.1434 1.4314e-1 4.7024e-4 -1.3357e-1
93.00 0.1362 1.3603e-1 4.2234e-4 -1.2737e-1
94.00 0.1295 1.2929e-1 3.7943e-4 -1.2145e-1
95.00 0.1231 1.2290e-1 3.4099e-4 -1.1580e-1
96.00 0.1170 1.1683e-1 3.0653e-4 -1.1040e-1
97.00 0.1112 1.1108e-1 2.7563e-4 -1.0525e-1
98.00 0.1057 1.0562e-1 2.4792e-4 -1.0034e-1
99.00 0.1005 1.0043e-1 2.2305e-4 -9.5655e-2
