# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
25.00 7.7097 -3.8343e0 2.1960e0 -9.9955e-1
26.00 5.2835 -4.4440e0 4.4221e0 -9.9493e-1
27.00 4.1455 -3.5201e0 5.1784e0 -9.8416e-1
28.00 3.6245 -2.1569e0 4.1499e0 -9.7334e-1
29.00 3.1758 -1.5384e0 4.3824e0 -9.5824e-1
30.00 2.7071 -1.3217e0 4.4500e0 -9.3327e-1
31.00 2.4386 -9.5222e-1 4.5013e0 -9.1272e-1
32.00 2.1979 -7.6440e-1 4.5606e0 -8.8897e-1
33.00 2.0203 -6.0528e-1 4.6349e0 -8.6739e-1
34.00 1.9050 -3.0458e-1 3.9782e0 -8.5118e-1
35.00 1.8306 -1.5957e-2 3.3992e0 -8.3968e-1
36.00 1.7621 2.2450e-1 2.8714e0 -8.2831e-1
37.00 1.7076 4.1740e-1 2.5699e0 -8.1870e-1
38.00 1.6788 6.4576e-1 2.1038e0 -8.1341e-1
39.00 1.6566 8.4365e-1 1.7339e0 -8.0920e-1
40.00 1.6405 1.0137e0 1.3911e0 -8.0612e-1
41.00 1.6259 1.1485e0 1.0972e0 -8.0326e-1
42.00 1.6008 1.2349e0 8.6453e-1 -7.9827e-1
43.00 1.5654 1.2946e0 6.3159e-1 -7.9100e-1
44.00 1.5172 1.3161e0 4.5942e-1 -7.8068e-1
45.00 1.4603 1.3137e0 3.1994e-1 -7.6784e-1
46.00 1.3997 1.2950e0 2.1005e-1 -7.5333e-1
47.00 1.3366 1.2608e0 1.3952e-1 -7.3725e-1
48.00 1.2702 1.2111e0 1.0477e-1 -7.1924e-1
49.00 1.2023 1.1532e0 8.6444e-2 -6.9949e-1
50.00 1.1345 1.0922e0 7.4745e-2 -6.7841e-1
51.00 1.0686 1.0317e0 6.5692e-2 -6.5651e-1
52.00 1.0053 9.7295e-1 5.8002e-2 -6.3408e-1
53.00 0.9452 9.1678e-1 5.1235e-2 -6.1139e-1
54.00 0.8883 8.6342e-1 4.5232e-2 -5.8865e-1
55.00 0.8347 8.1293e-1 3.9904e-2 -5.6601e-1
56.00 0.7844 7.6527e-1 3.5178e-2 -5.4359e-1
57.00 0.7371 7.2034e-1 3.0993e-2 -5.2149e-1
58.00 0.6927 6.7803e-1 2.7294e-2 -4.9977e-1
59.00 0.6510 6.3821e-1 2.4028e-2 -4.7850e-1
60.00 0.6120 6.0075e-1 2.1148e-2 -4.5772e-1
61.00 0.5754 5.6551e-1 1.8611e-2 -4.3749e-1
62.00 0.5410 5.3238e-1 1.6377e-2 -4.1784e-1
63.00 0.5088 5.0122e-1 1.4411e-2 -3.9877e-1
64.00 0.4786 4.7193e-1 1.2682e-2 -3.8032e-1
65.00 0.4502 4.4439e-1 1.1162e-2 -3.6250e-1
66.00 0.4236 4.1849e-1 9.8257e-3 -3.4531e-1
67.00 0.3986 3.9414e-1 8.6508e-3 -3.2875e-1
68.00 0.3752 3.7124e-1 7.6180e-3 -3.1283e-1
69.00 0.3532 3.4971e-1 6.7100e-3 -2.9754e-1
70.00 0.3325 3.2947e-1 5.9117e-3 -2.8288e-1
71.00 0.3131 3.1042e-1 5.2097e-3 -2.6882e-1
72.00 0.2949 2.9252e-1 4.5923e-3 -2.5537e-1
73.00 0.2777 2.7567e-1 4.0493e-3 -2.4251e-1
74.00 0.2616 2.5983e-1 3.5715e-3 -2.3022e-1
75.00 0.2465 2.4492e-1 3.1511e-3 -2.1849e-1
76.00 0.2323 2.3089e-1 2.7810e-3 -2.0730e-1
77.00 0.2189 2.1770e-1 2.4551e-3 -1.9663e-1
78.00 0.2064 2.0527e-1 2.1681e-3 -1.8647e-1
79.00 0.1946 1.9359e-1 1.9153e-3 -1.7680e-1
80.00 0.1834 1.8258e-1 1.6925e-3 -1.6760e-1
81.00 0.1730 1.7222e-1 1.4961e-3 -1.5885e-1
82.00 0.1631 1.6247e-1 1.3229e-3 -1.5053e-1
83.00 0.1539 1.5329e-1 1.1701e-3 -1.4262e-1
84.00 0.1452 1.4464e-1 1.0353e-3 -1.3512e-1
85.00 0.1370 1.3649e-1 9.1632e-4 -1.2799e-1
86.00 0.1292 1.2882e-1 8.1127e-4 -1.2123e-1
87.00 0.1220 1.2159e-1 7.1849e-4 -1.1481e-1
88.00 0.1151 1.1478e-1 6.3652e-4 -1.0872e-1
89.00 0.1086 1.0836e-1 5.6407e-4 -1.0295e-1
90.00 0.1026 1.0231e-1 5.0002e-4 -9.7480e-2
91.00 0.0968 9.6612e-2 4.4337e-4 -9.2294e-2
92.00 0.0914 9.1238e-2 3.9326e-4 -8.7380e-2
93.00 0.0863 8.6171e-2 3.4891e-4 -8.2724e-2
94.00 0.0815 8.1394e-2 3.0966e-4 -7.8313e-2
95.00 0.0770 7.6889e-2 2.7490e-4 -7.4135e-2
96.00 0.0728 7.2641e-2 2.4410e-4 -7.0179e-2
97.00 0.0687 6.8633e-2 2.1682e-4 -6.6433e-2
98.00 0.0649 6.4853e-2 1.9264e-4 -6.2886e-2
99.00 0.0614 6.1287e-2 1.7120e-4 -5.9527e-2
