# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
25.00 7.3028 -2.8271e0 3.7027e-1 -9.9933e-1
26.00 5.3110 -2.8017e0 2.2017e0 -9.9506e-1
27.00 3.6675 -2.2675e0 1.7504e0 -9.7446e-1
28.00 2.7168 -2.5492e0 3.8552e0 -9.3392e-1
29.00 2.2507 -1.8521e0 2.9800e0 -8.9467e-1
30.00 1.9343 -1.3694e0 2.7054e0 -8.5547e-1
31.00 1.6285 -1.1555e0 2.9553e0 -8.0378e-1
32.00 1.4995 -7.5379e-1 2.5020e0 -7.7676e-1
33.00 1.3828 -5.1531e-1 2.4134e0 -7.4913e-1
34.00 1.2911 -3.2895e-1 2.3094e0 -7.2504e-1
35.00 1.2316 -1.2910e-1 2.0359e0 -7.0817e-1
36.00 1.1557 -1.2393e-2 1.9953e0 -6.8517e-1
37.00 1.1156 1.6740e-1 1.7048e0 -6.7228e-1
38.00 1.0757 3.2126e-1 1.4494e0 -6.5894e-1
39.00 1.0594 4.7885e-1 1.1880e0 -6.5333e-1
40.00 1.0529 6.2511e-1 8.9913e-1 -6.5108e-1
41.00 1.0451 7.2871e-1 7.0762e-1 -6.4835e-1
42.00 1.0372 8.1948e-1 4.7206e-1 -6.4557e-1
43.00 1.0089 8.4870e-1 3.6051e-1 -6.3538e-1
44.00 0.9709 8.5649e-1 2.5659e-1 -6.2126e-1
45.00 0.9305 8.5665e-1 1.5595e-1 -6.0565e-1
46.00 0.8853 8.3539e-1 1.0323e-1 -5.8743e-1
47.00 0.8394 8.0716e-1 6.3110e-2 -5.6805e-1
48.00 0.7916 7.6902e-1 4.2789e-2 -5.4690e-1
49.00 0.7432 7.2559e-1 3.3071e-2 -5.2439e-1
50.00 0.6948 6.8026e-1 2.7476e-2 -5.0084e-1
51.00 0.6479 6.3554e-1 2.3480e-2 -4.7688e-1
52.00 0.6032 5.9256e-1 2.0189e-2 -4.5293e-1
53.00 0.5610 5.5186e-1 1.7373e-2 -4.2935e-1
54.00 0.5214 5.1363e-1 1.4931e-2 -4.0633e-1
55.00 0.4846 4.7788e-1 1.2815e-2 -3.8403e-1
56.00 0.4503 4.4454e-1 1.0988e-2 -3.6253e-1
57.00 0.4184 4.1351e-1 9.4154e-3 -3.4189e-1
58.00 0.3888 3.8465e-1 8.0658e-3 -3.2214e-1
59.00 0.3614 3.5782e-1 6.9094e-3 -3.0329e-1
60.00 0.3359 3.3290e-1 5.9197e-3 -2.8534e-1
61.00 0.3123 3.0975e-1 5.0731e-3 -2.6827e-1
62.00 0.2905 2.8825e-1 4.3492e-3 -2.5209e-1
63.00 0.2702 2.6827e-1 3.7302e-3 -2.3676e-1
64.00 0.2513 2.4972e-1 3.2008e-3 -2.2225e-1
65.00 0.2339 2.3248e-1 2.7479e-3 -2.0854e-1
66.00 0.2177 2.1647e-1 2.3603e-3 -1.9561e-1
67.00 0.2026 2.0158e-1 2.0283e-3 -1.8341e-1
68.00 0.1886 1.8775e-1 1.7439e-3 -1.7191e-1
69.00 0.1757 1.7490e-1 1.5002e-3 -1.6110e-1
70.00 0.1636 1.6295e-1 1.2911e-3 -1.5092e-1
71.00 0.1524 1.5184e-1 1.1117e-3 -1.4135e-1
72.00 0.1420 1.4150e-1 9.5775e-4 -1.3237e-1
73.00 0.1323 1.3189e-1 8.2548e-4 -1.2393e-1
74.00 0.1233 1.2295e-1 7.1181e-4 -1.1601e-1
75.00 0.1149 1.1464e-1 6.1408e-4 -1.0859e-1
76.00 0.1072 1.0690e-1 5.3001e-4 -1.0162e-1
77.00 0.0999 9.9694e-2 4.5765e-4 -9.5094e-2
78.00 0.0932 9.2990e-2 3.9535e-4 -8.8978e-2
79.00 0.0869 8.6748e-2 3.4167e-4 -8.3250e-2
80.00 0.0811 8.0936e-2 2.9541e-4 -7.7885e-2
81.00 0.0757 7.5524e-2 2.5552e-4 -7.2862e-2
82.00 0.0706 7.0483e-2 2.2110e-4 -6.8160e-2
83.00 0.0659 6.5787e-2 1.9140e-4 -6.3760e-2
84.00 0.0615 6.1412e-2 1.6575e-4 -5.9642e-2
85.00 0.0574 5.7334e-2 1.4360e-4 -5.5790e-2
86.00 0.0536 5.3535e-2 1.2445e-4 -5.2186e-2
87.00 0.0500 4.9993e-2 1.0790e-4 -4.8815e-2
88.00 0.0467 4.6691e-2 9.3578e-5 -4.5662e-2
89.00 0.0437 4.3612e-2 8.1189e-5 -4.2714e-2
90.00 0.0408 4.0741e-2 7.0464e-5 -3.9956e-2
91.00 0.0381 3.8063e-2 6.1178e-5 -3.7377e-2
92.00 0.0356 3.5565e-2 5.3132e-5 -3.4966e-2
93.00 0.0333 3.3235e-2 4.6160e-5 -3.2711e-2
94.00 0.0311 3.1061e-2 4.0116e-5 -3.0603e-2
95.00 0.0290 2.9032e-2 3.4874e-5 -2.8632e-2
96.00 0.0272 2.7139e-2 3.0326e-5 -2.6788e-2
97.00 0.0254 2.5371e-2 2.6380e-5 -2.5065e-2
98.00 0.0237 2.3721e-2 2.2953e-5 -2.3453e-2
99.00 0.0222 2.2181e-2 1.9978e-5 -2.1946e-2
