# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
32.00 3.1269 -8.1839e0 6.7426e-1 -9.5614e-1
33.00 1.3319 -7.6509e0 2.0087e0 -7.3603e-1
34.00 -1.1934 -1.0557e1 3.8204e0 2.2982e0
35.00 -1.1906 -1.0297e1 8.0351e0 2.2891e0
36.00 -0.7955 -6.8446e0 3.5023e0 1.2155e0
37.00 -0.9136 -6.1494e0 3.8369e0 1.4934e0
38.00 -1.1044 -5.5897e0 3.9159e0 2.0173e0
39.00 -1.3140 -5.6985e0 7.8544e0 2.7209e0
40.00 -1.2433 -4.3372e0 3.8034e0 2.4672e0
41.00 -1.3280 -3.8608e0 3.4463e0 2.7736e0
42.00 -1.2684 -3.2105e0 2.8257e0 2.5550e0
43.00 -1.1810 -2.6647e0 2.4022e0 2.2575e0
44.00 -1.0551 -2.2470e0 2.4094e0 1.8722e0
45.00 -0.8636 -1.7517e0 1.9972e0 1.3717e0
46.00 -0.6487 -1.2619e0 1.4954e0 9.1310e-1
47.00 -0.4515 -8.5478e-1 1.0356e0 5.7063e-1
48.00 -0.2998 -5.7004e-1 7.2275e-1 3.4960e-1
49.00 -0.1767 -3.4114e-1 4.2135e-1 1.9332e-1
50.00 -0.0879 -1.8729e-1 2.3759e-1 9.1919e-2
51.00 -0.0292 -9.2729e-2 1.4239e-1 2.9596e-2
52.00 0.0070 -3.7214e-2 9.5011e-2 -6.9753e-3
53.00 0.0284 -3.7294e-3 6.6733e-2 -2.8048e-2
54.00 0.0405 1.6186e-2 4.8658e-2 -3.9646e-2
55.00 0.0462 2.7255e-2 3.7143e-2 -4.5115e-2
56.00 0.0480 3.3051e-2 2.9074e-2 -4.6888e-2
57.00 0.0476 3.5636e-2 2.3124e-2 -4.6493e-2
58.00 0.0459 3.6300e-2 1.8551e-2 -4.4884e-2
59.00 0.0436 3.5805e-2 1.4957e-2 -4.2628e-2
