# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
32.00 1.5228 -1.0352e1 2.2962e-1 -7.8189e-1
33.00 -1.2874 -1.2471e1 2.3296e0 2.6233e0
34.00 -0.5762 -9.4151e0 2.1396e0 7.7918e-1
35.00 -2.5873 -1.3464e1 4.5091e0 1.2293e1
36.00 -1.1314 -8.5005e0 4.1082e0 2.1001e0
37.00 -0.9940 -7.6977e0 5.8829e0 1.7021e0
38.00 -0.9383 -6.8324e0 6.1521e0 1.5556e0
39.00 -0.9205 -5.5522e0 4.1649e0 1.5105e0
40.00 -1.0649 -5.2290e0 5.0390e0 1.9004e0
41.00 -1.2817 -5.0838e0 5.3490e0 2.6027e0
42.00 -1.2373 -4.3548e0 4.6496e0 2.4462e0
43.00 -1.1421 -3.8063e0 4.6785e0 2.1333e0
44.00 -1.0054 -3.2725e0 4.1708e0 1.7331e0
45.00 -0.8060 -2.7211e0 3.7616e0 1.2389e0
46.00 -0.5590 -2.1491e0 3.4034e0 7.4887e-1
47.00 -0.3324 -1.6666e0 3.1524e0 3.9436e-1
48.00 -0.1137 -1.1476e0 2.4144e0 1.2043e-1
49.00 0.0646 -7.3956e-1 1.8352e0 -6.2593e-2
50.00 0.2039 -4.1315e-1 1.2983e0 -1.8448e-1
51.00 0.3013 -1.9015e-1 9.6789e-1 -2.6012e-1
52.00 0.3646 -4.3160e-2 7.6762e-1 -3.0551e-1
53.00 0.4056 5.8519e-2 6.3379e-1 -3.3340e-1
54.00 0.4312 1.3050e-1 5.3858e-1 -3.5030e-1
55.00 0.4459 1.8175e-1 4.6762e-1 -3.5978e-1
56.00 0.4533 2.1918e-1 4.1160e-1 -3.6445e-1
57.00 0.4555 2.4666e-1 3.6597e-1 -3.6584e-1
58.00 0.4541 2.6703e-1 3.2767e-1 -3.6499e-1
59.00 0.4503 2.8208e-1 2.9489e-1 -3.6258e-1
