# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
32.00 3.4820 -8.1229e0 7.9205e-1 -9.6925e-1
33.00 1.7457 -8.4559e0 3.6617e0 -8.2548e-1
34.00 -0.4896 -1.0919e1 4.8522e0 6.3173e-1
35.00 -0.8052 -1.1034e1 6.7501e0 1.2372e0
36.00 0.0558 -6.3649e0 3.4763e0 -5.4290e-2
37.00 0.0088 -5.4045e0 3.5419e0 -8.7671e-3
38.00 -0.3893 -5.4403e0 4.9263e0 4.7588e-1
39.00 -0.5278 -4.7478e0 4.4910e0 6.9521e-1
40.00 -0.6484 -4.2275e0 4.3466e0 9.1255e-1
41.00 -0.8035 -3.8850e0 4.3249e0 1.2334e0
42.00 -0.7803 -3.2602e0 3.6819e0 1.1822e0
43.00 -0.6879 -2.6475e0 3.1009e0 9.8951e-1
44.00 -0.5769 -2.2421e0 3.1404e0 7.8050e-1
45.00 -0.3951 -1.7745e0 2.9363e0 4.8459e-1
46.00 -0.1788 -1.2727e0 2.5621e0 1.9578e-1
47.00 0.0192 -8.3431e-1 2.1031e0 -1.9059e-2
48.00 0.1719 -4.9712e-1 1.6232e0 -1.5791e-1
49.00 0.3010 -2.0576e-1 1.1618e0 -2.5993e-1
50.00 0.3950 5.3966e-3 8.2196e-1 -3.2634e-1
51.00 0.4564 1.4407e-1 6.1208e-1 -3.6643e-1
52.00 0.4924 2.3073e-1 4.9036e-1 -3.8884e-1
53.00 0.5118 2.8723e-1 4.0827e-1 -4.0060e-1
54.00 0.5204 3.2458e-1 3.4855e-1 -4.0574e-1
55.00 0.5212 3.4796e-1 3.0504e-1 -4.0622e-1
56.00 0.5171 3.6247e-1 2.7074e-1 -4.0373e-1
57.00 0.5097 3.7097e-1 2.4259e-1 -3.9933e-1
58.00 0.5004 3.7534e-1 2.1874e-1 -3.9369e-1
59.00 0.4898 3.7677e-1 1.9812e-1 -3.8723e-1
