# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
32.00 3.1184 -8.1945e0 6.8705e-1 -9.5577e-1
33.00 1.2998 -7.6740e0 1.9787e0 -7.2742e-1
34.00 -1.2192 -1.0595e1 3.8679e0 2.3843e0
35.00 -1.2182 -1.0355e1 8.0839e0 2.3810e0
36.00 -0.8140 -6.8749e0 3.5547e0 1.2568e0
37.00 -0.9262 -6.1597e0 3.8286e0 1.5249e0
38.00 -1.1123 -5.5896e0 3.8957e0 2.0413e0
39.00 -1.3224 -5.7040e0 7.8506e0 2.7523e0
40.00 -1.2502 -4.3403e0 3.7921e0 2.4912e0
41.00 -1.3345 -3.8658e0 3.4461e0 2.7981e0
42.00 -1.2748 -3.2169e0 2.8301e0 2.5779e0
43.00 -1.1872 -2.6710e0 2.4052e0 2.2778e0
44.00 -1.0612 -2.2540e0 2.4160e0 1.8899e0
45.00 -0.8698 -1.7594e0 2.0063e0 1.3863e0
46.00 -0.6545 -1.2688e0 1.5023e0 9.2421e-1
47.00 -0.4568 -8.6106e-1 1.0412e0 5.7907e-1
48.00 -0.3047 -5.7559e-1 7.2704e-1 3.5622e-1
49.00 -0.1811 -3.4572e-1 4.2341e-1 1.9853e-1
50.00 -0.0918 -1.9114e-1 2.3830e-1 9.6179e-2
51.00 -0.0327 -9.6063e-2 1.4250e-1 3.3206e-2
52.00 0.0038 -4.0181e-2 9.4897e-2 -3.8280e-3
53.00 0.0256 -6.3915e-3 6.6507e-2 -2.5258e-2
54.00 0.0378 1.3777e-2 4.8388e-2 -3.7142e-2
55.00 0.0438 2.5061e-2 3.6874e-2 -4.2848e-2
56.00 0.0459 3.1045e-2 2.8824e-2 -4.4826e-2
57.00 0.0456 3.3800e-2 2.2900e-2 -4.4612e-2
58.00 0.0441 3.4616e-2 1.8355e-2 -4.3165e-2
59.00 0.0419 3.4261e-2 1.4787e-2 -4.1056e-2
