# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
32.00 1.8746 -1.0011e1 2.1150e-1 -8.4659e-1
33.00 -0.8669 -1.1515e1 2.6725e0 1.3795e0
34.00 -0.7166 -9.3113e0 1.9935e0 1.0474e0
35.00 -2.3026 -1.2831e1 5.8050e0 9.0006e0
36.00 -1.0826 -7.9275e0 4.0800e0 1.9523e0
37.00 -1.0100 -7.0201e0 4.9676e0 1.7455e0
38.00 -1.0088 -6.2478e0 5.6076e0 1.7423e0
39.00 -1.0562 -5.1921e0 3.7525e0 1.8755e0
40.00 -1.1884 -4.8236e0 4.4452e0 2.2818e0
41.00 -1.3877 -4.6722e0 4.8593e0 3.0055e0
42.00 -1.3460 -3.9662e0 4.1617e0 2.8422e0
43.00 -1.2713 -3.4588e0 4.1675e0 2.5655e0
44.00 -1.1376 -2.9173e0 3.5857e0 2.1193e0
45.00 -0.9496 -2.3697e0 3.0681e0 1.5846e0
46.00 -0.7232 -1.8206e0 2.5899e0 1.0610e0
47.00 -0.5179 -1.3668e0 2.2068e0 6.7843e-1
48.00 -0.3315 -9.3695e-1 1.5733e0 3.9310e-1
49.00 -0.1815 -6.0915e-1 1.0870e0 1.9904e-1
50.00 -0.0691 -3.6603e-1 6.9943e-1 7.1545e-2
51.00 0.0074 -2.0784e-1 4.7613e-1 -7.3477e-3
52.00 0.0559 -1.0846e-1 3.4733e-1 -5.4327e-2
53.00 0.0860 -4.3399e-2 2.6433e-1 -8.2375e-2
54.00 0.1038 -4.6916e-4 2.0771e-1 -9.8567e-2
55.00 0.1131 2.7622e-2 1.6763e-1 -1.0697e-1
56.00 0.1171 4.6227e-2 1.3747e-1 -1.1049e-1
57.00 0.1175 5.8362e-2 1.1408e-1 -1.1088e-1
58.00 0.1158 6.6141e-2 9.5388e-2 -1.0932e-1
59.00 0.1127 7.0885e-2 8.0179e-2 -1.0655e-1
