# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
32.00 2.7811 -8.4510e0 2.0056e0 -9.3803e-1
33.00 1.2240 -9.0075e0 4.0509e0 -7.0596e-1
34.00 -0.5097 -1.1667e1 1.0316e1 6.6476e-1
35.00 -0.2669 -8.2849e0 7.5367e0 3.0585e-1
36.00 -0.3366 -6.5107e0 3.8923e0 4.0013e-1
37.00 -0.4948 -5.6702e0 3.6467e0 6.4024e-1
38.00 -0.6656 -5.0221e0 3.4428e0 9.4575e-1
39.00 -0.8746 -4.6256e0 3.8915e0 1.3979e0
40.00 -1.0352 -4.2576e0 4.2286e0 1.8156e0
41.00 -1.1223 -3.8066e0 4.0468e0 2.0718e0
42.00 -1.1357 -3.2606e0 3.3455e0 2.1133e0
43.00 -1.0597 -2.7125e0 2.8601e0 1.8854e0
44.00 -0.9043 -2.1679e0 2.4821e0 1.4703e0
45.00 -0.7205 -1.6900e0 2.1853e0 1.0554e0
46.00 -0.5357 -1.2761e0 1.8613e0 7.0865e-1
47.00 -0.3585 -8.8700e-1 1.3717e0 4.3117e-1
48.00 -0.2096 -5.7214e-1 9.3632e-1 2.3321e-1
49.00 -0.0932 -3.3830e-1 6.0632e-1 9.7688e-2
50.00 -0.0094 -1.7861e-1 3.9413e-1 9.4456e-3
51.00 0.0462 -7.6234e-2 2.6938e-1 -4.5151e-2
52.00 0.0799 -1.3224e-2 1.9575e-1 -7.6808e-2
53.00 0.0996 2.6551e-2 1.4771e-1 -9.4833e-2
54.00 0.1097 5.0815e-2 1.1583e-1 -1.0394e-1
55.00 0.1137 6.5277e-2 9.3378e-2 -1.0743e-1
56.00 0.1136 7.3364e-2 7.6823e-2 -1.0736e-1
57.00 0.1111 7.7443e-2 6.4017e-2 -1.0516e-1
58.00 0.1073 7.8982e-2 5.3759e-2 -1.0176e-1
59.00 0.1028 7.8868e-2 4.5373e-2 -9.7682e-2
