# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
25.00 6.2698 -3.8226e0 2.8317e-1 -9.9811e-1
26.00 4.4282 -3.6719e0 2.1488e0 -9.8806e-1
27.00 2.8581 -3.1301e0 1.8249e0 -9.4262e-1
28.00 1.9523 -3.4632e0 4.1350e0 -8.5805e-1
29.00 1.5830 -2.6363e0 3.2115e0 -7.9464e-1
30.00 1.3079 -2.1610e0 3.1081e0 -7.2962e-1
31.00 1.0520 -1.8850e0 3.2954e0 -6.5075e-1
32.00 0.9638 -1.4839e0 3.0151e0 -6.1854e-1
33.00 0.8881 -1.2081e0 2.8973e0 -5.8858e-1
34.00 0.8305 -1.0545e0 3.2087e0 -5.6416e-1
35.00 0.8321 -7.1542e-1 2.5017e0 -5.6488e-1
36.00 0.7892 -5.8167e-1 2.5460e0 -5.4580e-1
37.00 0.7909 -3.5509e-1 2.3132e0 -5.4654e-1
38.00 0.7960 -1.2371e-1 1.9479e0 -5.4887e-1
39.00 0.8179 8.2295e-2 1.6988e0 -5.5863e-1
40.00 0.8411 2.3320e-1 1.6725e0 -5.6877e-1
41.00 0.8828 4.6375e-1 1.0713e0 -5.8636e-1
42.00 0.9104 6.2308e-1 7.1651e-1 -5.9765e-1
43.00 0.9097 7.0036e-1 5.3753e-1 -5.9736e-1
44.00 0.8937 7.4680e-1 3.7339e-1 -5.9086e-1
45.00 0.8716 7.7977e-1 2.1873e-1 -5.8174e-1
46.00 0.8405 7.8090e-1 1.3656e-1 -5.6849e-1
47.00 0.8057 7.7000e-1 7.4555e-2 -5.5320e-1
48.00 0.7659 7.4256e-1 4.5586e-2 -5.3507e-1
49.00 0.7231 7.0590e-1 3.2858e-2 -5.1476e-1
50.00 0.6789 6.6494e-1 2.6547e-2 -4.9283e-1
51.00 0.6351 6.2330e-1 2.2507e-2 -4.7013e-1
52.00 0.5928 5.8260e-1 1.9355e-2 -4.4720e-1
53.00 0.5524 5.4368e-1 1.6702e-2 -4.2444e-1
54.00 0.5144 5.0687e-1 1.4404e-2 -4.0213e-1
55.00 0.4787 4.7226e-1 1.2405e-2 -3.8042e-1
56.00 0.4454 4.3986e-1 1.0671e-2 -3.5943e-1
57.00 0.4143 4.0959e-1 9.1709e-3 -3.3922e-1
58.00 0.3854 3.8136e-1 7.8771e-3 -3.1984e-1
59.00 0.3585 3.5506e-1 6.7638e-3 -3.0131e-1
60.00 0.3336 3.3058e-1 5.8071e-3 -2.8363e-1
61.00 0.3103 3.0779e-1 4.9860e-3 -2.6681e-1
62.00 0.2888 2.8659e-1 4.2817e-3 -2.5082e-1
63.00 0.2687 2.6687e-1 3.6778e-3 -2.3567e-1
64.00 0.2501 2.4853e-1 3.1601e-3 -2.2131e-1
65.00 0.2329 2.3148e-1 2.7162e-3 -2.0773e-1
66.00 0.2168 2.1561e-1 2.3355e-3 -1.9491e-1
67.00 0.2019 2.0086e-1 2.0090e-3 -1.8281e-1
68.00 0.1880 1.8714e-1 1.7288e-3 -1.7140e-1
69.00 0.1751 1.7437e-1 1.4883e-3 -1.6065e-1
70.00 0.1631 1.6250e-1 1.2818e-3 -1.5053e-1
71.00 0.1520 1.5145e-1 1.1044e-3 -1.4102e-1
72.00 0.1417 1.4118e-1 9.5199e-4 -1.3208e-1
73.00 0.1320 1.3161e-1 8.2094e-4 -1.2368e-1
74.00 0.1231 1.2271e-1 7.0823e-4 -1.1580e-1
75.00 0.1147 1.1443e-1 6.1125e-4 -1.0840e-1
76.00 0.1070 1.0672e-1 5.2777e-4 -1.0146e-1
77.00 0.0998 9.9543e-2 4.5587e-4 -9.4957e-2
78.00 0.0931 9.2860e-2 3.9394e-4 -8.8859e-2
79.00 0.0868 8.6637e-2 3.4055e-4 -8.3147e-2
80.00 0.0810 8.0840e-2 2.9452e-4 -7.7796e-2
81.00 0.0756 7.5442e-2 2.5481e-4 -7.2785e-2
82.00 0.0705 7.0412e-2 2.2054e-4 -6.8093e-2
83.00 0.0658 6.5726e-2 1.9095e-4 -6.3702e-2
84.00 0.0614 6.1359e-2 1.6539e-4 -5.9592e-2
85.00 0.0574 5.7289e-2 1.4331e-4 -5.5747e-2
86.00 0.0536 5.3495e-2 1.2422e-4 -5.2149e-2
87.00 0.0500 4.9959e-2 1.0771e-4 -4.8783e-2
88.00 0.0467 4.6661e-2 9.3432e-5 -4.5634e-2
89.00 0.0436 4.3587e-2 8.1072e-5 -4.2689e-2
90.00 0.0408 4.0719e-2 7.0371e-5 -3.9935e-2
91.00 0.0381 3.8044e-2 6.1103e-5 -3.7359e-2
92.00 0.0356 3.5549e-2 5.3072e-5 -3.4950e-2
93.00 0.0332 3.3221e-2 4.6112e-5 -3.2698e-2
94.00 0.0311 3.1049e-2 4.0077e-5 -3.0591e-2
95.00 0.0290 2.9021e-2 3.4843e-5 -2.8621e-2
96.00 0.0271 2.7129e-2 3.0301e-5 -2.6779e-2
97.00 0.0254 2.5363e-2 2.6359e-5 -2.5057e-2
98.00 0.0237 2.3714e-2 2.2937e-5 -2.3447e-2
99.00 0.0222 2.2175e-2 1.9965e-5 -2.1941e-2
