# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
25.00 4.5096 -6.9243e0 3.6623e-1 -9.8900e-1
26.00 3.7683 -5.9829e0 2.7990e0 -9.7691e-1
27.00 2.1363 -5.3822e0 3.6671e0 -8.8191e-1
28.00 1.1710 -5.4804e0 6.4295e0 -6.8995e-1
29.00 0.9657 -4.0857e0 5.3602e0 -6.1927e-1
30.00 0.7368 -3.0285e0 3.2157e0 -5.2135e-1
31.00 0.3935 -2.7969e0 3.3397e0 -3.2530e-1
32.00 0.1855 -2.6024e0 3.8418e0 -1.6934e-1
33.00 0.0652 -2.4899e0 4.7462e0 -6.3086e-2
34.00 0.0399 -1.9391e0 3.0520e0 -3.9110e-2
35.00 0.0358 -1.6307e0 2.7905e0 -3.5119e-2
36.00 0.0181 -1.4436e0 2.8626e0 -1.7953e-2
37.00 0.0457 -1.1130e0 2.2187e0 -4.4695e-2
38.00 0.0594 -9.0067e-1 2.0832e0 -5.7627e-2
39.00 0.1038 -6.2867e-1 1.6287e0 -9.8580e-2
40.00 0.1568 -3.8900e-1 1.2507e0 -1.4516e-1
41.00 0.2057 -1.9572e-1 9.7037e-1 -1.8593e-1
42.00 0.2525 -2.6815e-2 6.7722e-1 -2.2312e-1
43.00 0.2774 7.8855e-2 4.9068e-1 -2.4221e-1
44.00 0.2844 1.4614e-1 3.4336e-1 -2.4751e-1
45.00 0.2887 2.0476e-1 1.9374e-1 -2.5073e-1
46.00 0.2850 2.3446e-1 1.1110e-1 -2.4801e-1
47.00 0.2755 2.4670e-1 5.8173e-2 -2.4082e-1
48.00 0.2614 2.4499e-1 3.0358e-2 -2.3003e-1
49.00 0.2439 2.3350e-1 1.8487e-2 -2.1643e-1
50.00 0.2245 2.1720e-1 1.3208e-2 -2.0109e-1
51.00 0.2047 1.9919e-1 1.0249e-2 -1.8515e-1
52.00 0.1857 1.8128e-1 8.2456e-3 -1.6948e-1
53.00 0.1677 1.6415e-1 6.6938e-3 -1.5441e-1
54.00 0.1511 1.4820e-1 5.4381e-3 -1.4022e-1
55.00 0.1359 1.3354e-1 4.3958e-3 -1.2703e-1
56.00 0.1220 1.2018e-1 3.5411e-3 -1.1488e-1
57.00 0.1096 1.0807e-1 2.8443e-3 -1.0376e-1
58.00 0.0983 9.7128e-2 2.2796e-3 -9.3631e-2
59.00 0.0882 8.7263e-2 1.8242e-3 -8.4426e-2
60.00 0.0791 7.8385e-2 1.4582e-3 -7.6084e-2
61.00 0.0710 7.0402e-2 1.1648e-3 -6.8537e-2
62.00 0.0637 6.3229e-2 9.3016e-4 -6.1718e-2
63.00 0.0572 5.6788e-2 7.4269e-4 -5.5563e-2
64.00 0.0513 5.1005e-2 5.9305e-4 -5.0013e-2
65.00 0.0461 4.5814e-2 4.7367e-4 -4.5010e-2
66.00 0.0413 4.1154e-2 3.7843e-4 -4.0503e-2
67.00 0.0371 3.6972e-2 3.0245e-4 -3.6444e-2
68.00 0.0333 3.3218e-2 2.4183e-4 -3.2791e-2
69.00 0.0299 2.9849e-2 1.9343e-4 -2.9502e-2
70.00 0.0269 2.6824e-2 1.5479e-4 -2.6544e-2
71.00 0.0242 2.4109e-2 1.2393e-4 -2.3882e-2
72.00 0.0217 2.1671e-2 9.9262e-5 -2.1487e-2
73.00 0.0195 1.9483e-2 7.9543e-5 -1.9333e-2
74.00 0.0175 1.7517e-2 6.3771e-5 -1.7396e-2
75.00 0.0158 1.5752e-2 5.1151e-5 -1.5654e-2
76.00 0.0142 1.4167e-2 4.1047e-5 -1.4088e-2
77.00 0.0128 1.2743e-2 3.2954e-5 -1.2679e-2
78.00 0.0115 1.1464e-2 2.6469e-5 -1.1412e-2
79.00 0.0103 1.0314e-2 2.1270e-5 -1.0272e-2
80.00 0.0093 9.2813e-3 1.7100e-5 -9.2469e-3
81.00 0.0084 8.3528e-3 1.3754e-5 -8.3249e-3
82.00 0.0075 7.5182e-3 1.1067e-5 -7.4956e-3
83.00 0.0068 6.7679e-3 8.9087e-6 -6.7495e-3
84.00 0.0061 6.0933e-3 7.1745e-6 -6.0783e-3
85.00 0.0055 5.4865e-3 5.7802e-6 -5.4744e-3
86.00 0.0049 4.9409e-3 4.6588e-6 -4.9310e-3
87.00 0.0045 4.4500e-3 3.7564e-6 -4.4420e-3
88.00 0.0040 4.0084e-3 3.0300e-6 -4.0019e-3
89.00 0.0036 3.6110e-3 2.4450e-6 -3.6057e-3
90.00 0.0033 3.2534e-3 1.9737e-6 -3.2491e-3
91.00 0.0029 2.9316e-3 1.5938e-6 -2.9281e-3
92.00 0.0026 2.6419e-3 1.2875e-6 -2.6391e-3
93.00 0.0024 2.3811e-3 1.0404e-6 -2.3788e-3
94.00 0.0021 2.1463e-3 8.4103e-7 -2.1444e-3
95.00 0.0019 1.9349e-3 6.8009e-7 -1.9333e-3
96.00 0.0017 1.7444e-3 5.5013e-7 -1.7432e-3
97.00 0.0016 1.5729e-3 4.4514e-7 -1.5719e-3
98.00 0.0014 1.4184e-3 3.6030e-7 -1.4176e-3
99.00 0.0013 1.2792e-3 2.9172e-7 -1.2785e-3
