# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
25.00 12.2099 2.0922e0 3.3357e-1 -1.0000e0
26.00 10.0004 1.8528e0 2.1364e0 -9.9995e-1
27.00 8.1831 2.1987e0 1.6906e0 -9.9972e-1
28.00 7.1112 1.8082e0 3.6461e0 -9.9918e-1
29.00 6.5042 2.2848e0 3.1312e0 -9.9850e-1
30.00 6.0551 2.5991e0 2.9452e0 -9.9765e-1
31.00 5.6580 2.7215e0 3.2589e0 -9.9651e-1
32.00 5.4236 3.0276e0 2.7383e0 -9.9559e-1
33.00 5.2032 3.1756e0 2.5723e0 -9.9450e-1
34.00 4.9891 3.1944e0 2.6903e0 -9.9319e-1
35.00 4.8248 3.3026e0 2.3172e0 -9.9197e-1
36.00 4.6355 3.2934e0 2.3411e0 -9.9030e-1
37.00 4.4903 3.3725e0 2.0394e0 -9.8878e-1
38.00 4.3560 3.4508e0 1.7210e0 -9.8717e-1
39.00 4.2471 3.5247e0 1.4502e0 -9.8569e-1
40.00 4.1516 3.5947e0 1.1408e0 -9.8426e-1
41.00 4.0517 3.6038e0 9.9588e-1 -9.8261e-1
42.00 3.9575 3.6230e0 7.0960e-1 -9.8089e-1
43.00 3.8414 3.5697e0 5.9635e-1 -9.7854e-1
44.00 3.7194 3.5041e0 4.6051e-1 -9.7575e-1
45.00 3.5978 3.4343e0 3.2865e-1 -9.7262e-1
46.00 3.4731 3.3427e0 2.5307e-1 -9.6898e-1
47.00 3.3495 3.2452e0 1.9313e-1 -9.6490e-1
48.00 3.2255 3.1374e0 1.5956e-1 -9.6026e-1
49.00 3.1022 3.0245e0 1.4041e-1 -9.5505e-1
50.00 2.9809 2.9109e0 1.2673e-1 -9.4925e-1
51.00 2.8630 2.7996e0 1.1536e-1 -9.4290e-1
52.00 2.7492 2.6916e0 1.0525e-1 -9.3602e-1
53.00 2.6399 2.5875e0 9.6116e-2 -9.2863e-1
54.00 2.5351 2.4875e0 8.7804e-2 -9.2075e-1
55.00 2.4349 2.3916e0 8.0231e-2 -9.1240e-1
56.00 2.3391 2.2997e0 7.3331e-2 -9.0359e-1
57.00 2.2475 2.2116e0 6.7045e-2 -8.9434e-1
58.00 2.1600 2.1273e0 6.1318e-2 -8.8467e-1
59.00 2.0763 2.0466e0 5.6102e-2 -8.7461e-1
60.00 1.9964 1.9692e0 5.1351e-2 -8.6417e-1
61.00 1.9199 1.8951e0 4.7022e-2 -8.5338e-1
62.00 1.8468 1.8241e0 4.3077e-2 -8.4225e-1
63.00 1.7768 1.7561e0 3.9481e-2 -8.3082e-1
64.00 1.7098 1.6909e0 3.6202e-2 -8.1910e-1
65.00 1.6457 1.6284e0 3.3211e-2 -8.0713e-1
66.00 1.5844 1.5685e0 3.0481e-2 -7.9492e-1
67.00 1.5256 1.5110e0 2.7989e-2 -7.8250e-1
68.00 1.4692 1.4559e0 2.5712e-2 -7.6990e-1
69.00 1.4153 1.4030e0 2.3632e-2 -7.5714e-1
70.00 1.3635 1.3523e0 2.1730e-2 -7.4424e-1
71.00 1.3139 1.3036e0 1.9990e-2 -7.3122e-1
72.00 1.2663 1.2568e0 1.8397e-2 -7.1812e-1
73.00 1.2206 1.2119e0 1.6940e-2 -7.0495e-1
74.00 1.1768 1.1688e0 1.5604e-2 -6.9174e-1
75.00 1.1347 1.1274e0 1.4380e-2 -6.7850e-1
76.00 1.0944 1.0876e0 1.3258e-2 -6.6525e-1
77.00 1.0556 1.0493e0 1.2229e-2 -6.5201e-1
78.00 1.0183 1.0126e0 1.1284e-2 -6.3881e-1
79.00 0.9826 9.7724e-1 1.0417e-2 -6.2565e-1
80.00 0.9482 9.4326e-1 9.6201e-3 -6.1255e-1
81.00 0.9151 9.1059e-1 8.8878e-3 -5.9953e-1
82.00 0.8833 8.7915e-1 8.2145e-3 -5.8660e-1
83.00 0.8528 8.4891e-1 7.5952e-3 -5.7377e-1
84.00 0.8234 8.1982e-1 7.0252e-3 -5.6106e-1
85.00 0.7951 7.9181e-1 6.5005e-3 -5.4847e-1
86.00 0.7679 7.6486e-1 6.0171e-3 -5.3602e-1
87.00 0.7417 7.3891e-1 5.5718e-3 -5.2371e-1
88.00 0.7165 7.1392e-1 5.1612e-3 -5.1156e-1
89.00 0.6923 6.8986e-1 4.7826e-3 -4.9957e-1
90.00 0.6689 6.6668e-1 4.4333e-3 -4.8774e-1
91.00 0.6464 6.4435e-1 4.1109e-3 -4.7609e-1
92.00 0.6248 6.2284e-1 3.8131e-3 -4.6461e-1
93.00 0.6039 6.0211e-1 3.5382e-3 -4.5332e-1
94.00 0.5838 5.8213e-1 3.2841e-3 -4.4222e-1
95.00 0.5644 5.6286e-1 3.0492e-3 -4.3130e-1
96.00 0.5457 5.4430e-1 2.8319e-3 -4.2058e-1
97.00 0.5277 5.2639e-1 2.6310e-3 -4.1005e-1
98.00 0.5104 5.0913e-1 2.4450e-3 -3.9972e-1
99.00 0.4936 4.9247e-1 2.2729e-3 -3.8959e-1
